SRCID,Mode,Q1,Q2,nominal Q2,Q3,Q4,binary undecided voter,DUM1,DUM2,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q5j,Q5k,Q5m,Q6,Q7a,Q7b,Q7c,Q7d,Q7e,Q7f,Q7g,Q7h,Q7i,Q8,Q9a,Q9b,Q9c,Q9d,Q9e,Q9f,Q9g,Q9h,Q9i,Q9j,Q9k,Q10,Q11a,Q11b,Q11c,Q11d,Q11e,Q11f,Q11g,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_DK,Q13_REF,Q14,Q15a,Q15b,Q15c,Q15d,Q15e,Q15f,Q15g,Q15h,Q15i,Q15_safe_gambler,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q16h,Q16i,Q17a,Q17b,Q17c,Q17d,Q18,Q20,Q22,Q23,Q24,Q25,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,StateMap,nominal StateMap
962,2,2,30,"""30""",30,1,FALSE,1,3,1,1,1,1,2,1,2,2,2,2,1,2,4,1,1,1,1,1,1,2,2,1,2,3,3,2,3,2,2,3,2,3,2,2,2,2,3,3,2,1,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,2,2,3,2,3,2,3,3,2,2,3,2,3,6,5,1, , , ,2,3,3,5,5,"""5"""
1817,1,4,1,"""1""", ,1,FALSE,1,1,1,3,2,1,2,2,2,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,6,4,3,3,3,4,2,2,3,3,3,2,2,2,3,2,2,1,2,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,12,4,4,4,4,4,4,4,4,4,1,2,1,2,3,1,3,2,4,1,3,2,2,2,5,6,1, , , ,2,3,2,5,5,"""5"""
1363,2,2,16,"""16""",28,1,FALSE,2,1,2,1,1,1,2,2,3,2,3,3,4,2,4,2,1,1,2,2,2,3,3,2,9,4,3,1,2,4,1,1,2,2,3,2,-98,1,4,2,2,1,2,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,20,4,4,4,4,4,4,4,4,4,1,4,1,1,2,1,3,4,1,1,3,1,3,4,7,8,1, , , ,1,3,2,5,5,"""5"""
60,2,2,4,"""4""",96,3,FALSE,2,3,1,2,1,1,1,1,2,2,2,2,2,2,4,1,2,2,1,2,2,2,1,1,4,2,3,3,2,3,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104,3,4,4,3,3,2,4,3,3,0.740740741,2,2,2,3,2,3,3,3,2,3,2,3,2,3,3,1,1986,2, ,1,2,1,5,5,"""5"""
1321,1,2,8,"""8""",6,1,FALSE,2,1,1,2,1,1,1,3,3,2,-98,2,-98,2,4,1,1,1,1,1,1,1,2,1,9,4,1,-98,1,3,1,1,1,-98,1,1,1,2,2,-98,2,2,3,-98,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,4,4,4,4,4,4,4,4,4,1,2,1,1,2,1,3,3,4,3,2,3,2,2,7,10,1, , , ,2,4,3,5,5,"""5"""
561,2,4,16,"""16""",2,15,FALSE,1,1,1,1,2,2,3,2,2,3,2,2,2,2,1,2,2,1,3,1,1,2,1,2,5,3,3,2,1,2,2,3,2,2,2,2,1,2,4,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,,3,1,2,3,2,4,3,3,2,4,2,2,4,6,8,3,2017,1,1,2,3,1,5,5,"""5"""
2349,2,2,11,"""11""",8,1,FALSE,1,1,1,2,1,1,2,1,3,2,1,1,1,1,9,1,2,1,2,1,1,3,1,2,5,3,2,3,3,3,2,2,1,1,1,2,1,1,4,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , ,,2,2,2,3,1,3,3,3,2,2,3,2,2,6,5,3,2004,1,2,2,2,1,5,5,"""5"""
1033,2,2,11,"""11""",16,4,FALSE,2,1,2,2,3,3,3,1,2,3,1,2,1,1,6,1,2,1,3,2,2,2,1,2,1,3,3,2,2,3,2,2,2,1,2,2,2,2,4,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,,3,1,2,3,1,4,3,3,3,1,2,2,4,6,7,3,1997,1,2,1,4,1,5,5,"""5"""
999,2,4,33,"""33""",13,3,FALSE,2,3,1,3,2,2,3,1,2,3,1,2,2,1,1,2,2,2,2,1,2,3,1,2,5,1,3,2,3,3,1,1,2,2,2,1,1,1,4,1,1,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,1,3,2,2,2,1,4,2,3,2,3,2,3,3,7,8,3,1983,1,2,1,4,1,5,5,"""5"""
1733,1,2,11,"""11""",35,4,FALSE,1,3,2,2,1,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,2,2,2,1,9,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , ,,3,2,2,2,1,3,3,3,2,2,2,-98,3,7,7,1, , , ,2,4,2,5,5,"""5"""
