SRCID,Q1,Q5a,Q5c,p_age_group_sdc,p_education_sdc,TFC_DUM1
1191,2,1,1,3,2,"(1,2]"
678,4,2,3,2,1,"(1,2]"
265,2,2,2,2,1,"(1,2]"
2388,2,1,1,1,1,"(1,2]"
1660,2,2,3,2,1,"(1,2]"
1961,2,1,3,4,NA,"(1,2]"
1968,4,1,1,3,2,"(1,2]"
1781,2,2,3,1,1,"(1,2]"
1030,2,2,2,4,3,"(1,2]"
193,2,1,1,2,1,"(1,2]"
1332,4,2,1,4,3,"(1,2]"
1361,4,2,2,2,3,"(1,2]"
658,4,2,2,3,1,"(1,2]"
1547,4,2,1,4,1,"(1,2]"
1335,4,2,3,4,1,"(1,2]"
473,4,2,3,3,3,"(1,2]"
1929,2,2,3,4,1,"(1,2]"
2116,2,1,1,NA,1,"(1,2]"
2346,1,2,2,2,1,"(1,2]"
629,2,2,2,2,1,"(1,2]"
822,2,2,2,4,NA,"(1,2]"
524,2,1,2,4,NA,"(1,2]"
1786,2,1,1,3,2,"(1,2]"
1228,4,1,2,3,1,"(1,2]"
672,4,2,1,3,3,"(1,2]"
2025,2,1,2,4,3,"(1,2]"
2057,4,2,2,2,1,"(1,2]"
536,2,4,4,3,1,"(1,2]"
1438,2,2,2,1,3,"(1,2]"
2042,4,2,2,2,1,"(1,2]"
1932,4,1,2,2,1,"(1,2]"
1839,2,1,2,4,3,"(1,2]"
1146,4,2,1,4,1,"(1,2]"
1518,4,2,2,2,2,"(1,2]"
975,2,1,2,4,1,"(1,2]"
968,2,2,3,2,1,"(1,2]"
1363,2,2,1,3,2,"(1,2]"
1739,2,1,2,2,2,"(1,2]"
566,4,1,2,4,1,"(1,2]"
1329,2,2,2,4,1,"(1,2]"
991,4,1,3,4,1,"(1,2]"
474,4,1,2,2,1,"(1,2]"
1631,2,1,2,4,3,"(1,2]"
1977,2,2,2,2,1,"(1,2]"
965,4,2,2,2,1,"(1,2]"
897,4,3,3,3,1,"(1,2]"
35,4,1,3,4,3,"(1,2]"
279,2,1,3,2,3,"(1,2]"
1696,4,1,1,3,2,"(1,2]"
1344,4,2,2,2,1,"(1,2]"
1114,2,1,1,2,2,"(1,2]"
1282,4,1,1,4,3,"(1,2]"
